agency_code,collection_id,code,site_name,longitude,latitude,trap_type,collection_date,trap_problem,aedes_dorsalis_males,aedes_dorsalis_females-mixed,aedes_dorsalis_,aedes_melanimon_males,aedes_melanimon_females-mixed,aedes_nigromaculis_males,aedes_nigromaculis_females-mixed,aedes_sierrensis_males,aedes_sierrensis_females-mixed,aedes_squamiger_males,aedes_squamiger_females-mixed,aedes_vexans_males,aedes_vexans_females-mixed,aedes_washinoi_males,aedes_washinoi_females-mixed,anopheles_franciscanus_males,anopheles_franciscanus_females-mixed,anopheles_freeborni_males,anopheles_freeborni_females-mixed,anopheles_occidentalis_males,anopheles_occidentalis_females-mixed,anopheles_punctipennis_males,anopheles_punctipennis_females-mixed,culex_apicalis_males,culex_apicalis_females-mixed,culex_erythrothorax_males,culex_erythrothorax_females-mixed,culex_pipiens_males,culex_pipiens_females-mixed,culex_restuans_males,culex_restuans_females-mixed,culex_stigmatosoma_males,culex_stigmatosoma_females-mixed,culex_tarsalis_males,culex_tarsalis_females-mixed,culiseta_incidens_males,culiseta_incidens_females-mixed,culiseta_inornata_males,culiseta_inornata_females-mixed,culiseta_particeps_males,culiseta_particeps_females-mixed,total
ALCO,2066082,28,Livermore Sewer,-121.80801,37.68985,CO2,8/25/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,10
ALCO,2066083,891892,Las Positas College (other side by building 4000),-121.80369,37.710783,CO2,8/25/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,9,0,0,0,0,0,0,23
ALCO,2066084,249577,Marlin Park,-121.74647,37.71809,CO2,8/25/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
ALCO,2066085,100053,Wattenburger Park,-121.745169,37.708606,CO2,8/25/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3
ALCO,2066086,100073,Pisces Ave.,-121.73535,37.71781,CO2,8/25/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
ALCO,2067824,46,Alden lane Nursery,-121.78331,37.65472,CO2,8/26/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,12,0,10,0,0,0,0,49
ALCO,2068871,585369,West Winton End,-122.14614,37.64674,CO2,9/3/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,1,0,0,0,0,8
ALCO,2069079,5014,Metropolitan Golf Course,-122.19558,37.722086,CO2,9/3/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,4
ALCO,2069080,185868,Oro Loma Whale Wall,-122.1611,37.66761,CO2,9/3/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
ALCO,2069081,185868,Oro Loma Whale Wall,-122.1611,37.66761,CO2,9/3/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,17
ALCO,2069088,3063,San Leandro Sewer,-122.19431,37.7152,CO2,9/3/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,17
ALCO,2069090,5014,Metropolitan Golf Course,-122.19558,37.722086,CO2,9/3/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3
ALCO,2069096,592945,Oro Loma Horizontal - Willows,-122.1569,37.66625,CO2,9/3/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,1,0,0,0,0,0,0,11
ALCO,2069106,3027,Tank Farm - East,-122.19984,37.71476,CO2,9/3/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,18
ALCO,2069107,453713,Willow Park,-122.29602,37.81211,CO2,9/3/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6
ALCO,2069116,2155,EBMUD Sewer Plant Trap,-122.292327,37.826976,CO2,9/3/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,39
ALCO,2069148,2155,EBMUD Sewer Plant Trap,-122.292327,37.826976,CO2,9/3/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,27
ALCO,2069161,3024,Godfrey Park,-122.23162,37.73483,CO2,9/3/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,6,0,1,0,0,0,0,20
ALCO,2069171,3024,Godfrey Park,-122.23162,37.73483,CO2,9/3/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,7,0,0,0,0,0,0,42
ALCO,2069203,8122,Stevenson Pond,-121.99857,37.50608,CO2,9/1/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,4,0,0,0,0,0,0,66
ALCO,2069225,282951,Ohlone,-122.00479,37.51595,CO2,9/1/2020,N,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,16,0,0,0,0,0,0,41
ALCO,2069247,6071,Entry Triangle #1,-122.06942,37.53046,CO2,9/2/2020,N,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,81
ALCO,2069259,6071,Entry Triangle #1,-122.06942,37.53046,CO2,9/2/2020,N,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,104
ALCO,2069271,8122,Stevenson Pond,-121.99857,37.50608,CO2,9/1/2020,N,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,11,0,0,0,0,0,0,202
ALCO,2069273,282951,Ohlone,-122.00479,37.51595,CO2,9/2/2020,N,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26
ALCO,2069276,114722,Sea Breeze Ponds,-122.084757,37.579312,CO2,9/1/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7
ALCO,2069279,997854,Willows Trail Central,-122.07641,37.55783,CO2,9/1/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
ALCO,2069280,965848,Willows Trail Central 1,-122.07703,37.55775,CO2,9/1/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5
ALCO,2069281,6001,Coyote Hills: Old Quarry,-122.08615,37.54965,CO2,9/1/2020,N,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,21
ALCO,2069454,7052,Warm Springs South East,-121.92804,37.46231,CO2,9/1/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,3,0,0,0,0,0,0,80
ALCO,2069457,6069,Dust Trail - Coyote Hills,-122.08791,37.55697,CO2,9/1/2020,N,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
ALCO,2069459,114722,Sea Breeze Ponds,-122.084757,37.579312,CO2,9/1/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,2,0,0,0,0,0,0,23
ALCO,2069460,386432,Coyote Hills RV Park,-122.072981,37.537216,CO2,9/1/2020,N,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
ALCO,2069468,6071,Entry Triangle #1,-122.06942,37.53046,CO2,9/1/2020,N,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,170
ALCO,2069486,7052,Warm Springs South East,-121.92804,37.46231,CO2,9/1/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,0,0,0,0,0,0,0,8,0,0,0,0,0,0,648
ALCO,2069493,8122,Stevenson Pond,-121.99857,37.50608,CO2,9/1/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,3,0,0,0,0,0,0,96
ALCO,2069497,443524,Heath Marsh,-122.01429,37.5025,CO2,9/1/2020,N,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,21
ALCO,2069502,8122,Stevenson Pond,-121.99857,37.50608,CO2,9/1/2020,N,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,102
ALCO,2069514,282951,Ohlone,-122.00479,37.51595,CO2,9/1/2020,N,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,0,0,0,0,0,11,0,0,0,0,0,1,46
ALCO,2069515,6071,Entry Triangle #1,-122.06942,37.53046,CO2,9/1/2020,N,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,69
ALCO,2075883,3063,San Leandro Sewer,-122.19431,37.7152,CO2,9/15/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,9,0,1,0,0,0,0,25
ALCO,2075884,3027,Tank Farm - East,-122.19984,37.71476,CO2,9/15/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,46
ALCO,2075889,3027,Tank Farm - East,-122.19984,37.71476,CO2,9/15/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,49
ALCO,2075930,3024,Godfrey Park,-122.23162,37.73483,CO2,9/15/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
ALCO,2075979,3024,Godfrey Park,-122.23162,37.73483,CO2,9/15/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ALCO,2075992,2155,EBMUD Sewer Plant Trap,-122.292327,37.826976,CO2,9/15/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,34
ALCO,2076038,2155,EBMUD Sewer Plant Trap,-122.292327,37.826976,CO2,9/15/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,79,0,0,0,0,0,0,0,0,0,0,0,0,80
ALCO,2076067,112,Dutra Duck Ponds North West,-122.14267,37.63083,CO2,9/16/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,4,0,0,0,0,0,0,0,0,0,1,0,0,61
ALCO,2076073,1008,Morcom Amphitheater,-122.247494,37.820669,CO2,9/15/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ALCO,2076074,152484,Temescal Creek Park on 53rd St Emeryville,-122.278024,37.837053,CO2,9/15/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3
ALCO,2076080,585369,West Winton End,-122.14614,37.64674,CO2,9/16/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,11,0,0,0,0,23
ALCO,2076123,197462,Mountain View Cemetery South East #2,-122.23283,37.83327,CO2,9/15/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3
ALCO,2076129,729852,Saint Mary''s College Albany,-122.28373,37.88245,CO2,9/15/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCO,2076130,724797,Albany Target,-122.30652,37.88398,CO2,9/15/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3
ALCO,2076132,643352,Cerrito Creek Path West,-122.308474,37.897747,CO2,9/15/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCO,2076134,843481,Memorial Park Albany,-122.29105,37.89578,CO2,9/15/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ALCO,2076135,542753,Lower Codornices Path,-122.30104,37.88263,CO2,9/15/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
ALCO,2076136,563923,Albany Mudflats Park,-122.31215,37.88974,CO2,9/15/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCO,2076155,418927,Terrace Path,-122.28671,37.88531,CO2,9/15/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ALCO,2076182,531414,Cerrito Creekside Park,-122.30538,37.898011,CO2,9/15/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ALCO,2076840,100061,Lester Knott Park,-121.75132,37.69611,CO2,9/17/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,15,0,9,0,0,0,0,35
ALCO,2082109,661477,Croak Road Dublin Wet-land,-121.85039,37.70407,CO2,9/24/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,2,0,0,0,0,0,0,139
ALCO,2082126,9914,Arroyo Del Val at St Johns Ct,-121.87822,37.66592,CO2,9/22/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,4
ALCO,2082128,986824,Shadow Cliffs,-121.84377,37.66932,CO2,9/22/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4
ALCO,2082130,28,Livermore Sewer,-121.80801,37.68985,CO2,9/22/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3
ALCO,2082131,100087,Summertree Ct,-121.80322,37.67885,CO2,9/22/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
ALCO,2082132,255853,Vineyard Ave,-121.81715,37.65554,CO2,9/22/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALCO,2082133,100083,Max Baer Park,-121.79708,37.66235,CO2,9/22/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,6
ALCO,2082140,100053,Wattenburger Park,-121.745169,37.708606,CO2,9/22/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ALCO,2082142,891892,Las Positas College (other side by building 4000),-121.80369,37.710783,CO2,9/22/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ALCO,2082143,249577,Marlin Park,-121.74647,37.71809,CO2,9/22/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,4
ALCO,2082148,100073,Pisces Ave.,-121.73535,37.71781,CO2,9/22/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ALCO,2082153,6001,Coyote Hills: Old Quarry,-122.08615,37.54965,CO2,9/24/2020,N,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,2,0,0,9
ALCO,2082154,965848,Willows Trail Central 1,-122.07703,37.55775,CO2,9/24/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5
ALCO,2082155,997854,Willows Trail Central,-122.07641,37.55783,CO2,9/24/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,5,19
ALCO,2082156,6069,Dust Trail - Coyote Hills,-122.08791,37.55697,CO2,9/24/2020,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ALCO,2082157,6071,Entry Triangle #1,-122.06942,37.53046,CO2,9/24/2020,N,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,15
ALCO,2082158,6071,Entry Triangle #1,-122.06942,37.53046,CO2,9/24/2020,N,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,15
ALCO,2082159,282951,Ohlone,-122.00479,37.51595,CO2,9/24/2020,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,55,0,2,0,0,0,0,0,39,0,0,0,0,0,0,97
ALCO,2082160,343386,Coyote Lagoon at Don Edwards,-121.948499,37.480061,CO2,9/24/2020,N,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,33
ALCO,2082171,282951,Ohlone,-122.00479,37.51595,CO2,9/24/2020,N,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,3,0,0,0,0,0,23,0,0,0,0,0,0,70
